主要時系列統計データ表
2023/07/19 09:00
"","為替相場(東京インターバンク相場)（月次）","為替相場(東京インターバンク相場)（月次）","為替相場(東京インターバンク相場)（月次）","為替相場(東京インターバンク相場)（月次）","為替相場(東京インターバンク相場)（月次）","為替相場(東京インターバンク相場)（月次）"
"系列名称","東京市場　ドル・円　スポット　17時時点/月末","東京市場　ドル・円　スポット　17時時点/月中平均","東京市場　ドル・円　スポット　中心相場/月末","東京市場　ドル・円　スポット　中心相場/月中平均","東京市場　ドル・円　スポット　月中最高値","東京市場　ドル・円　スポット　月中最安値"
"データコード",FM08'FXERM06,FM08'FXERM07,FM08'FXERM08,FM08'FXERM09,FM08'FXERM03,FM08'FXERM05
"単位",1ドルにつき円,1ドルにつき円,1ドルにつき円,1ドルにつき円,1ドルにつき円,1ドルにつき円
"収録開始期","1973/01","1973/01","1992/08","1992/08","1992/08","1992/08"
"収録終了期","2023/06","2023/06","2023/06","2023/06","2023/06","2023/06"
"最終更新日","2023/07/05","2023/07/05","2023/07/05","2023/07/05","2023/07/05","2023/07/05"
1980/01,238.8,237.73,,,,
1980/02,249.8,244.07,,,,
1980/03,249.7,248.61,,,,
1980/04,238.3,251.45,,,,
1980/05,224.4,228.06,,,,
1980/06,218.15,218.11,,,,
1980/07,226.85,220.91,,,,
1980/08,219.2,224.34,,,,
1980/09,212,214.95,,,,
1980/10,211.75,209.21,,,,
1980/11,216.75,212.99,,,,
1980/12,203.6,209.79,,,,
1981/01,205.2,202.19,,,,
1981/02,208.85,205.76,,,,
1981/03,211.4,208.84,,,,
1981/04,215,215.07,,,,
1981/05,223.5,220.78,,,,
1981/06,225.75,224.21,,,,
1981/07,239.75,232.11,,,,
1981/08,228.75,233.62,,,,
1981/09,231.55,229.83,,,,
1981/10,233.35,231.4,,,,
1981/11,214.15,223.76,,,,
1981/12,220.25,219.02,,,,
1982/01,228.45,224.55,,,,
1982/02,235.2,235.25,,,,
1982/03,248.3,240.64,,,,
1982/04,236.3,244.9,,,,
1982/05,243.7,236.97,,,,
1982/06,255.55,251.11,,,,
1982/07,256.65,255.1,,,,
1982/08,259.6,258.67,,,,
1982/09,269.4,262.74,,,,
1982/10,277.4,271.33,,,,
1982/11,253.45,265.02,,,,
1982/12,235.3,242.49,,,,
1983/01,238.4,232.9,,,,
1983/02,235.55,236.27,,,,
1983/03,239.3,237.92,,,,
1983/04,237.7,237.7,,,,
1983/05,238.6,234.78,,,,
1983/06,239.8,240.06,,,,
1983/07,241.5,240.49,,,,
1983/08,246.75,244.36,,,,
1983/09,236.1,242.71,,,,
1983/10,233.65,233,,,,
1983/11,234.2,235.25,,,,
1983/12,232,234.34,,,,
1984/01,234.74,233.95,,,,
1984/02,233.28,233.67,,,,
1984/03,224.75,225.52,,,,
1984/04,226.3,224.95,,,,
1984/05,231.63,230.67,,,,
1984/06,237.45,233.29,,,,
1984/07,245.45,242.72,,,,
1984/08,241.7,242.24,,,,
1984/09,245.4,245.19,,,,
1984/10,245.3,246.89,,,,
1984/11,246.5,243.29,,,,
1984/12,251.58,247.96,,,,
1985/01,254.78,254.11,,,,
1985/02,259,260.34,,,,
1985/03,250.7,258.43,,,,
1985/04,251.4,251.67,,,,
1985/05,251.78,251.57,,,,
1985/06,248.95,248.95,,,,
1985/07,236.65,241.7,,,,
1985/08,237.1,237.2,,,,
1985/09,216,236.91,,,,
1985/10,211.8,214.84,,,,
1985/11,202.05,203.85,,,,
1985/12,200.6,202.75,,,,
1986/01,192.65,200.05,,,,
1986/02,180.45,184.62,,,,
1986/03,179.65,178.83,,,,
1986/04,168.1,175.56,,,,
1986/05,172.05,166.89,,,,
1986/06,163.95,167.82,,,,
1986/07,154.15,158.65,,,,
1986/08,156.05,154.11,,,,
1986/09,153.63,154.78,,,,
1986/10,161.45,156.04,,,,
1986/11,162.2,162.72,,,,
1986/12,160.1,162.13,,,,
1987/01,152.3,154.48,,,,
1987/02,153.15,153.49,,,,
1987/03,145.65,151.56,,,,
1987/04,139.65,142.96,,,,
1987/05,144.15,140.47,,,,
1987/06,146.75,144.52,,,,
1987/07,149.25,150.2,,,,
1987/08,142.35,147.57,,,,
1987/09,146.35,143.03,,,,
1987/10,138.55,143.48,,,,
1987/11,132.45,135.25,,,,
1987/12,122,128.25,,,,
1988/01,127.18,127.44,,,,
1988/02,128.12,129.26,,,,
1988/03,124.5,127.23,,,,
1988/04,124.82,124.88,,,,
1988/05,124.8,124.74,,,,
1988/06,132.2,127.2,,,,
1988/07,132.53,133.1,,,,
1988/08,134.97,133.63,,,,
1988/09,134.3,134.45,,,,
1988/10,125,128.85,,,,
1988/11,121.85,123.16,,,,
1988/12,125.9,123.63,,,,
1989/01,129.13,127.24,,,,
1989/02,127.15,127.77,,,,
1989/03,132.55,130.35,,,,
1989/04,132.49,132.01,,,,
1989/05,142.7,138.4,,,,
1989/06,143.95,143.92,,,,
1989/07,138.4,140.63,,,,
1989/08,144.28,141.2,,,,
1989/09,139.35,145.06,,,,
1989/10,142.15,141.99,,,,
1989/11,142.9,143.55,,,,
1989/12,143.4,143.62,,,,
1990/01,144.4,145.09,,,,
1990/02,148.52,145.54,,,,
1990/03,157.65,153.19,,,,
1990/04,159.08,158.5,,,,
1990/05,151.75,153.52,,,,
1990/06,152.85,153.78,,,,
1990/07,147.5,149.23,,,,
1990/08,144.5,147.46,,,,
1990/09,137.95,138.96,,,,
1990/10,129.35,129.73,,,,
1990/11,132.75,129.01,,,,
1990/12,135.4,133.72,,,,
1991/01,131.4,133.65,,,,
1991/02,131.95,130.44,,,,
1991/03,140.55,137.09,,,,
1991/04,137.42,137.15,,,,
1991/05,137.97,138.02,,,,
1991/06,138.15,139.83,,,,
